,US_County_FIPS,_class,n_species,n_red
1660,12085,AVES,80,2
1661,12085,CHONDRICHTHYES,55,37
1662,12085,GASTROPODA,18,0
1663,12085,HYDROZOA,2,2
1664,12085,LILIOPSIDA,6,0
1665,12085,MAGNOLIOPSIDA,4,0
1666,12085,MALACOSTRACA,15,0
1667,12085,MAMMALIA,30,5
1668,12085,POLYPODIOPSIDA,1,0
1669,12085,REPTILIA,7,7
1670,12086,ACTINOPTERYGII,252,12
1671,12086,ANTHOZOA,57,23
1672,12086,AVES,81,2
1673,12086,CHONDRICHTHYES,68,40
1674,12086,GASTROPODA,25,0
1675,12086,HYDROZOA,2,2
1676,12086,LILIOPSIDA,6,0
1677,12086,MAGNOLIOPSIDA,4,0
1678,12086,MALACOSTRACA,21,0
1679,12086,MAMMALIA,29,5
1680,12086,POLYPODIOPSIDA,2,0
1681,12086,REPTILIA,8,7
1682,12087,ACTINOPTERYGII,262,14
1683,12087,ANTHOZOA,58,23
1684,12087,AVES,80,1
1685,12087,CHONDRICHTHYES,72,40
1686,12087,GASTROPODA,27,1
1687,12087,HYDROZOA,2,2
1688,12087,LILIOPSIDA,7,1
1689,12087,MAGNOLIOPSIDA,4,0
1690,12087,MALACOSTRACA,20,0
1691,12087,MAMMALIA,29,5
1692,12087,POLYPODIOPSIDA,2,0
1693,12087,REPTILIA,8,7
1694,12089,ACTINOPTERYGII,162,14
1695,12089,ANTHOZOA,8,2
1696,12089,AVES,82,2
1697,12089,CHONDRICHTHYES,57,38
1698,12089,GASTROPODA,15,0
1699,12089,LILIOPSIDA,2,0
1700,12089,MALACOSTRACA,11,0
1701,12089,MAMMALIA,32,6
1702,12089,REPTILIA,6,6
1703,12091,ACTINOPTERYGII,163,11
1704,12091,ANTHOZOA,3,1
1705,12091,AVES,79,1
1706,12091,CHONDRICHTHYES,62,39
1707,12091,GASTROPODA,17,1
1708,12091,LILIOPSIDA,5,0
1709,12091,MAGNOLIOPSIDA,1,0
1710,12091,MALACOSTRACA,9,0
1711,12091,MAMMALIA,28,5
1712,12091,REPTILIA,6,5
1713,12093,ACTINOPTERYGII,20,2
1714,12093,AVES,69,1
1715,12093,CEPHALASPIDOMORPHI,1,0
1716,12093,GASTROPODA,5,0
1717,12093,MAMMALIA,2,1
1718,12093,REPTILIA,1,1
1719,12095,ACTINOPTERYGII,19,2
1720,12095,AVES,77,2
1721,12095,CEPHALASPIDOMORPHI,1,0
1722,12095,CHONDRICHTHYES,1,0
1723,12095,GASTROPODA,5,0
1724,12095,MAMMALIA,1,0
1725,12097,ACTINOPTERYGII,18,2
1726,12097,AVES,76,2
1727,12097,CEPHALASPIDOMORPHI,1,0
1728,12097,CHONDRICHTHYES,1,0
1729,12097,GASTROPODA,5,0
1730,12097,MAMMALIA,1,0
1731,12097,REPTILIA,1,1
1732,12099,ACTINOPTERYGII,237,12
1733,12099,ANTHOZOA,55,22
1734,12099,AVES,80,2
1735,12099,CHONDRICHTHYES,64,39
1736,12099,GASTROPODA,20,0
1737,12099,HYDROZOA,2,2
1738,12099,LILIOPSIDA,6,0
1739,12099,MAGNOLIOPSIDA,4,0
1740,12099,MALACOSTRACA,17,0
1741,12099,MAMMALIA,29,5
1742,12099,POLYPODIOPSIDA,1,0
1743,12099,REPTILIA,8,7
