,US_County_FIPS,_class,n_species,n_red
364,01059,REPTILIA,8,0
365,01061,ACTINOPTERYGII,97,3
366,01061,AMPHIBIA,48,2
367,01061,AVES,120,2
368,01061,BIVALVIA,19,2
369,01061,CEPHALASPIDOMORPHI,1,0
370,01061,GASTROPODA,24,0
371,01061,INSECTA,3,1
372,01061,LILIOPSIDA,5,0
373,01061,MAGNOLIOPSIDA,4,0
374,01061,MALACOSTRACA,30,0
375,01061,MAMMALIA,5,0
376,01061,REPTILIA,14,0
377,01063,ACTINOPTERYGII,110,7
378,01063,AMPHIBIA,38,0
379,01063,AVES,111,2
380,01063,BIVALVIA,23,3
381,01063,CEPHALASPIDOMORPHI,2,0
382,01063,GASTROPODA,17,1
383,01063,INSECTA,3,1
384,01063,LILIOPSIDA,4,0
385,01063,MAGNOLIOPSIDA,3,0
386,01063,MALACOSTRACA,47,4
387,01063,MAMMALIA,5,0
388,01063,REPTILIA,11,0
389,01065,ACTINOPTERYGII,106,5
390,01065,AMPHIBIA,38,0
391,01065,AVES,111,2
392,01065,BIVALVIA,21,2
393,01065,CEPHALASPIDOMORPHI,3,0
394,01065,GASTROPODA,14,1
395,01065,INSECTA,4,1
396,01065,LILIOPSIDA,4,0
397,01065,MAGNOLIOPSIDA,3,0
398,01065,MALACOSTRACA,44,3
399,01065,MAMMALIA,5,0
400,01065,REPTILIA,11,0
401,01067,ACTINOPTERYGII,92,3
402,01067,AMPHIBIA,42,1
403,01067,AVES,113,2
404,01067,BIVALVIA,20,2
405,01067,CEPHALASPIDOMORPHI,1,0
406,01067,GASTROPODA,18,0
407,01067,INSECTA,3,1
408,01067,LILIOPSIDA,4,0
409,01067,MAGNOLIOPSIDA,3,0
410,01067,MALACOSTRACA,26,0
411,01067,MAMMALIA,5,0
412,01067,REPTILIA,13,0
413,01069,ACTINOPTERYGII,100,3
414,01069,AMPHIBIA,44,2
415,01069,AVES,120,2
416,01069,BIVALVIA,19,2
417,01069,CEPHALASPIDOMORPHI,1,0
418,01069,GASTROPODA,22,0
419,01069,INSECTA,3,1
420,01069,LILIOPSIDA,5,0
421,01069,MAGNOLIOPSIDA,3,0
422,01069,MALACOSTRACA,31,0
423,01069,MAMMALIA,5,0
424,01069,REPTILIA,15,0
425,01071,ACTINOPTERYGII,134,20
426,01071,AMPHIBIA,37,2
427,01071,AVES,113,3
428,01071,BIVALVIA,51,13
429,01071,CEPHALASPIDOMORPHI,4,0
430,01071,GASTROPODA,21,1
431,01071,INSECTA,4,1
432,01071,LILIOPSIDA,4,0
